书名,作者,译者,出版单位,出版时间,定价,豆瓣评分,评价人数,短评
你一生的故事,[美] 特德·姜 , 李克勤 , 译林出版社 , 2015-5 , 36.00元,8.7,23187人评价,特德·姜科幻小说集
棋王·树王·孩子王,阿城 ,, 江苏文艺出版社 , 2016-3-1 , 58.00,9.2,10476人评价,
黑客与画家,[美] Paul Graham , 阮一峰 , 人民邮电出版社 , 2011-4 , 49.00元,8.7,19008人评价,硅谷创业之父Paul Graham文集
中国哲学简史,冯友兰 , 赵复三 , 新世界出版社 , 2004-1 , 38.00元,8.9,15814人评价,中国哲学入门书
庄子,孙通海 译注 , 方勇 译注 , 中华书局 , 2007-04 , 20.00元,9.4,7995人评价,野马也，尘埃也，生物之以息相吹也
金锁记,张爱玲 ,, 哈尔滨出版社 , 2005-6 , 13.5元,8.6,50487人评价,一个小商人家庭出身的女子曹七巧的心灵变迁历程
额尔古纳河右岸,迟子建 ,, 北京十月文艺出版社 , 2005-12-1 , 29.00元,9.0,13861人评价,东北少数民族鄂温克人生存现状及百年沧桑
巨流河,齐邦媛 ,, 生活·读书·新知三联书店 , 2010-10 , 39.00元,8.7,25946人评价,两代人从巨流河到哑口海的故事
强风吹拂,三浦紫苑 , 林佩瑾 , 广西师范大学出版社 , 2015-1-1 , 39.00元,9.0,12147人评价,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
张爱玲文集,张爱玲 ,, 安徽文艺出版社 , 1992年 , 45元,8.9,13104人评价,
众病之王,[美] 悉达多·穆克吉 , 李虎 , 中信出版社 , 2013-2-4 , 42.00元,9.1,8658人评价,癌症传
简爱（英文全本）,[英] 夏洛蒂·勃朗特 ,, 世界图书出版公司 , 2003-11 , 18.00元,8.5,189490人评价,灰姑娘在十九世纪
恶意,[日] 东野圭吾 , 娄美莲 , 南海出版公司 , 2009-6 , 18.00,8.4,201478人评价,将手记体叙事的无限可能发挥得淋漓尽致
象棋的故事,[奥] 斯台芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 23.00元,9.1,9040人评价,纳粹法西斯对人心灵的折磨及摧残
设计中的设计,[日] 原研哉 , 朱锷 , 山东人民出版社 , 2006-11 , 48.00元,8.6,30104人评价,日常生活的无限可能性
故事新编,鲁迅 ,, 人民文学出版社 , 1973-12-01 , 0.31 元,9.2,9174人评价,拾取古代传说，取一点因由，随意点染
ZOO,[日] 乙一 , 李颖秋 , 当代世界出版社 , 2007-10 , 20.00元,8.6,35718人评价,噩梦中的一丝温度
毛姆短篇小说精选集,(英)威廉·萨默塞特·毛姆 , 冯亦代 , 译林出版社 , 2012-11 , 36.00元,9.0,8930人评价,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
夏洛的网,[美] E.B.怀特 , 任溶溶 , 上海译文出版社 , 2004-5 , 17.00元,8.6,53825人评价,一个蜘蛛和小猪的故事，写给孩子，也写给大人
荒原狼,[德]赫尔曼·黑塞 , 赵登荣 , 上海译文出版社 , 2008-7 , 13.00,9.0,11314人评价,“超现实主义”风格作品，德国的《尤利西斯》
论语,中华书局 ,, 2006-12 , 9.80元,,9.1,14084人评价,仁远乎哉？我欲仁，斯仁至矣
世界尽头与冷酷仙境,[日] 村上春树 , 林少华 , 上海译文出版社 , 2002-12 , 23.00元,8.6,37846人评价,交叉平行蒙太奇
步履不停,[日] 是枝裕和 , 郑有杰 , 北京联合出版公司 , 2017-5 , 36.80元,8.7,26893人评价,人生路上，步履不停，总有那么一点来不及
稻草人手记,三毛 ,, 北京十月文艺出版社 , 2009-3 , 18.00元,8.9,15351人评价,三毛在加纳利群岛上的生活
当呼吸化为空气,[美] 保罗·卡拉尼什 , 何雨珈 , 猫头鹰文化·浙江文艺出版社 , 2016-12 , 48.00元,8.8,17085人评价,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
人类的群星闪耀时,[奥] 斯蒂芬·茨威格 , 舒昌善 , 广西师范大学出版社 , 2004-8 , 18.00元,8.7,22031人评价,十四个影响人类文明的瞬间
佐贺的超级阿嬷,[日] 岛田洋七 , 陈宝莲 , 南海出版公司 , 2007-3 , 20.00元,8.7,19233人评价,乐观的外婆却总有神奇的办法
狂热分子,[美] 埃里克·霍弗 , 梁永安 , 广西师范大学出版社 , 2011-6 , 34.00元,8.9,10731人评价,探讨群众运动的共有特征
二手时间,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 , 中信出版集团 , 2016-1 , 55.00元,8.8,14792人评价,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
香水,[德] 帕·聚斯金德 , 李清华 , 上海译文出版社 , 2005-5 , 20.00元,8.5,36877人评价,每一次谋杀只因迷恋她们身上的味道
挪威的森林,[日] 村上春树 , 林少华 , 上海译文出版社 , 2007-7 , 23.00元,8.5,106485人评价,像喜欢春天的熊一样
多情剑客无情剑(上、中、下),古龙 ,, 海天出版社 , 1991-12-01 , 49.8,8.7,17525人评价,流水滔滔斩不断，情丝百结冲不破
社会契约论,卢梭 , 何兆武 , 商务印书馆 , 2003-2-1 , 18.00元,8.8,14244人评价,一个国家只能有一个契约
影响力,[美] 罗伯特·西奥迪尼 , 陈叙 , 中国人民大学出版社 , 2006-5 , 45.00元,8.6,40797人评价,营销防骗指南
牡丹亭,汤显祖 ,, 人民文学出版社 , 1963-4-1 , 14.50元,9.0,10007人评价,不到园林，怎知春色如许
金阁寺,[日] 三岛由纪夫 , 唐月梅 , 上海译文出版社 , 2009-1 , 24.00,8.7,21164人评价,他的犯罪动机是对美的嫉妒
世界的凛冬,[英] 肯·福莱特 , 陈杰 , 江苏凤凰文艺出版社 , 2017-3-1 , 132.00（全三册）,8.8,20512人评价,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长
美丽新世界,[英] 阿道司·赫胥黎 , 王波 , 重庆出版社 , 2005-6 , 20.00元,8.7,22412人评价,最经典的反乌托邦文学之一
老人与海,海明威 , 吴劳 , 上海译文出版社 , 1999-10 , 8.20元,8.4,159848人评价,正是悲壮赋予生活以意义
了不起的盖茨比,[美] 斯科特·菲茨杰拉德 , 邓若虚 , 南海出版公司 , 2012-5 , 25.00元,8.7,28371人评价,
哈姆莱特,[英] 莎士比亚 , 朱生豪 , 人民文学出版社 , 2001-1 , 7.00元,8.6,37116人评价,生存还是毁灭，这是一个值得思考的问题
告白,[日]凑佳苗 , 丁世佳 , 哈尔滨出版社 , 2010年6月 , 26.00元,8.5,11637人评价,
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 , 草婴 , 上海文艺出版社 , 2007-8 , 37.00元,9.2,11588人评价,
别闹了，费曼先生,[美] 理查德·费曼 , 吴程远 , 生活·读书·新知三联书店 , 1997-12 , 22.00,8.9,8860人评价,科学顽童的故事
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克 , 王明毅 , 中国社会科学出版社 , 1997-08-01 , 16.00,8.8,12921人评价,古典自由主义杰作
规训与惩罚,[法] 米歇尔·福柯 , 刘北成 , 生活·读书·新知三联书店 , 2003-1 , 21.80元,9.2,6630人评价,伴随着惩罚的人性化，自由反而日益丧失了
骆驼祥子,老舍 ,, 人民文学出版社 , 2000-3-1 , 12.00,8.4,157409人评价,旧中国老北京贫苦市民的典型命运
欢乐英雄,古龙 ,, 珠海出版社 , 2005-8 , 28.00元,8.8,13314人评价,坚持自己的信念，在贫穷中获得欢乐与友谊
一个人的村庄,刘亮程 ,, 春风文艺出版社 , 2006-1-1 , 28.00元,8.9,12387人评价,他是真正的作家，也是真正的农民
美国宪政历程,任东来 ,, 中国法制出版社 , 2014-1 , 35.00元,9.1,6916人评价,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦 , 李之义 , 中国少年儿童出版社 , 1999-3 , 17.80元,9.0,8912人评价,
海底两万里,[法国] 儒尔·凡尔纳 , 沈国华 , 译林出版社 , 2002-9 , 19.50元,8.5,83452人评价,你听说过鹦鹉螺号吗？
2001太空漫游,[英] 阿瑟·克拉克 , 郝明义 , 上海人民出版社 , 2007-11 , 28.00元,9.1,7049人评价,科幻三巨头之一阿瑟·克拉克代表作
尘埃落定,阿来 ,, 人民文学出版社 , 1998-3-1 , 22.0,8.5,53157人评价,一个傻子的土司家族传奇
长夜难明,紫金陈 ,, 云南人民出版社 , 2017-1 , 42.00元,8.5,44607人评价,
西方哲学史（上卷）,[英] 罗素 , 何兆武 , 商务印书馆 , 1963-9 , 25.00,8.9,11821人评价,西方哲学史及其与从古代到现代的政治、社会情况的联系
社会性动物,Elliot Aronson , 邢占军 , 华东师范大学出版社 , 2007-12 , 45.00元,9.1,9017人评价,美国社会心理学的《圣经》
批评官员的尺度,[美] 安东尼·刘易斯 , 何帆 , 北京大学出版社 , 2011-7 , 32.00元,8.9,8750人评价,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案
过于喧嚣的孤独,(捷克) 赫拉巴尔 , 杨乐云 , 北京十月文艺出版社 , 2011-10 , 22.00元,8.8,11305人评价,我为它而活着，并为写它推迟了我的死亡
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4 , 22.00元,8.9,10366人评价,
娱乐至死,[美] 尼尔·波兹曼 , 章艳 , 广西师范大学出版社 , 2011-6 , 29.80元,8.5,36092人评价,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸
如父如子,[日] 是枝裕和 , 丹勇 , 湖南文艺出版社 , 2018-4 , 49.80,8.9,17222人评价,
心理学与生活,[美] 理查德·格里格 , 王垒 , 人民邮电出版社 , 2003-10 , 88.00元,8.8,16810人评价,是教科书，也是通俗易懂的好读物
